TX_0000,"\col(1)1ルピ-\col(0)手に入れた!
。。。"
TX_0001,"\col(1)1ルピ-\col(0)手に入れた!
。。。"
TX_0002,\col(1)5ルピ-\col(0)手に入れた!
TX_0003,\col(1)10ルピ-\col(0)手に入れた!
TX_0004,"\col(1)20ルピ-\col(0)手に入れた!
ちょっと うれしい"
TX_0005,"\col(1)30ルピ-\col(0)手に入れた!
けっこう うれしい"
TX_0006,"\col(1)50ルピ-\col(0)手に入れた!
ラッキ-!"
TX_0007,"\col(1)100ルピ-\col(0)手に入れた!
とっても うれしい!!"
TX_0008,"\col(1)150ルピ-\col(0)手に入れた!
やったぜ!!"
TX_0009,"\col(1)200ルピ-\col(0)手に入れた!
シ。ア。ワ。セ"
TX_000a,"\col(1)ながれのしらべ\col(0)をおぼえた!\stop
むかしから もとのじだいへ
もどることができるぞ!
\col(1)たてごと\col(0)をそうびするときに
えらんで かなでよう!"
TX_000b,"\col(1)ときのしらべ\col(0)をおぼえた!\stop
むかしから もとのじだいへ
もとのじだいからは むかしへと
いくことができるぞ!
\col(1)たてごと\col(0)をそうびするときに
えらんで かなでよう!"
TX_000c,"\col(1)キョ-ダイのあかし\col(0)を手に入れた!
これで ゴロンのいちいんだ!"
TX_000d,"\col(1)イテテのなえ木\col(0)を手に入れた!
たくさんの実を つけるかな?"
TX_000e,"\pos(2)\slow()    時空のことわり
\col(1)たましいのきおく\col(0)を手に入れた!\stop
たましいのきおくは えいえんなり
 イノチ はてるとも 時をこえて
    心にかたりかける"
TX_000f,"\pos(2)\slow()    時空のことわり
 \col(1)もりのきおく\col(0)を手に入れた!\stop
 もりのきおくは しずけさなり
すましたみみに とどくこえのみが
     真実をかたる"
TX_0010,"\pos(2)\slow()    時空のことわり
 \col(1)けもののきおく\col(0)を手に入れた!\stop
けもののきおくは こうやにひびく
    さけびごえなり
とおいそのこえにあらぶる心を知る"
TX_0011,"\pos(2)\slow()    時空のことわり
 \col(1)ほのおのきおく\col(0)を手に入れた!\stop
ほのおのきおくは しゃくねつの心
そのゆらめきに てらされるとき
 勇者のあつき心がよみがえる"
TX_0012,"\pos(2)\slow()    時空のことわり
 \col(1)つちのきおく\col(0)を手に入れた!\stop
 つちのきおくは 大地にあり
そのふところに ふしてねむるとき
すべてをはぐくむ ぬくもりを知る"
TX_0013,"\pos(2)\slow()    時空のことわり
  \col(1)山のきおく\col(0)を手に入れた!\stop
山のきおくは おおしきすがたなり
大いなる時をへだてても かわらぬ
 ここうのたましいを つたえる"
TX_0014,"\pos(2)\slow()    時空のことわり
  \col(1)海のきおく\col(0)を手に入れた!\stop
しおさいのかなでし しんぴのうた
  うちよせるなみとなりて
勇者を ぼうけんへと いざなう"
TX_0015,"\pos(2)\slow()    時空のことわり
 \col(1)ほしのきおく\col(0)を手に入れた!\stop
  ほしのきおくは 天にあり
 時をこえる ふめつのひかりは
   大いなることわりへの
    みちしるべとなる"
TX_0016,\col(1)ハ-トのうつわ\col(0)を手に入れた!
TX_0017,"\col(1)ハ-トのかけら\col(0)を手に入れた!
\heartpiece
4つあつめれば
\col(1)ハ-トのうつわ\col(0)が1つふえる!
サブがめんでかくにんできるよ"
TX_0018,"\col(1)ダンジョンマップ\col(0)だ!
セレクトボタンで 見られるぞ
暗くなっているトコロは
まだ いっていないトコロだ"
TX_0019,"\col(1)コンパス\col(0)を見つけた!\stop
じぶんがいる ばしょや
たからばこのあるへやが わかるぞ
カギがあると おとをたてて
知らせてくれる!"
TX_001a,"\col(1)小さなカギ\col(0)を見つけた!\stop
カギのかかったトビラやブロックを
あけることが できるぞ!
このダンジョンでしか つかえない"
TX_001b,\col(1)ボスべやのカギ\col(0)を見つけた!
TX_001c,"勇者の剣
\col(1)ウッドソ-ド\col(0)を手に入れた!
ボタンをおして 力をためよう
はなせば 大ワザかいてんぎり!"
TX_001d,"聖なる剣
\col(1)ホワイトソ-ド\col(0)を手に入れた!"
TX_001e,"でんせつの剣
\col(1)マスタ-ソ-ド\col(0)を手に入れた!"
TX_001f,\col(1)木のたて\col(0)を手に入れた!
TX_0020,\col(1)鉄のたて\col(0)を手に入れた!
TX_0021,\col(1)かがみのたて\col(0)を手に入れた!
TX_0022,"\col(1)ブ-メラン\col(0)をもらった!
てきにぶつけて とめまくれ!"
TX_0023,\col(1)はかばのカギ\col(0)を手に入れた!
TX_0024,"\col(1)バクダン\col(0)を手に入れた!
あやしいカベをふきとばそう!
とり出した\col(1)バクダン\col(0)は もういちど
ボタンをおして そのばにおける
\col(0x84)\item(0x00)\col(0)ボタンをおしていれば
そのほうこうへ ほうりなげるぞ!
おいた\col(1)バクダン\col(0)にむかって
もういちどボタンをおせば
また もちあげられる"
TX_0025,"\col(1)スコップ\col(0)をもらった!
ほって ほって ほりまくれ!"
TX_0026,"\pos(2)\col(1)パワ-ブレスレット\col(0)を手に入れた!
ボタンをおしながら\col(0x84)\item(0x00)\col(0)ボタンで
おもいモノを もちあげたり
おしたりできるぞ!"
TX_0027,"\col(1)ロックちょうのハネ\col(0)を手に入れた!
フワリ、カラダが かるくなる!"
TX_0028,"\col(1)ロングいれかえフック\col(0)を手に入れた
とおくのモノと いれかえられる"
TX_0029,"\col(1)イテテの実\col(0)を手に入れた!
ニオイで まものがよってくるぞ!
\col(1)木の実ぶくろ\col(0)をひらいて えらぼう"
TX_002a,"\col(1)ハテナの実\col(0)を手に入れた!
なにがおこるか おたのしみ
いろんなものに つかってみよう!
\col(1)木の実ぶくろ\col(0)をひらいて えらぼう"
TX_002b,"\col(1)サッサの実\col(0)を手に入れた!
サッササッサとスピ-ドアップ!
\col(1)木の実ぶくろ\col(0)をひらいて えらぼう"
TX_002c,"\col(1)ピュ-の実\col(0)を手に入れた!
いきたいトコロへたつまきワ-プ!
\col(1)木の実ぶくろ\col(0)をひらいて えらぼう"
TX_002d,"\col(1)木の実ぶくろ\col(0)を手に入れた!
\col(1)アチチの実\col(0) 20コ入りだ!"
TX_002e,"\col(1)まめでっぽう\col(0)を手に入れた!\stop
\col(1)木の実\col(0)をえらんで ねらいうち!
いろんなトコロにはねかえる!"
TX_002f,"\col(1)パワフルグロ-ブ\col(0)を手に入れた
これで 大きなモノもかるがるだ!"
TX_0030,"\col(1)いれかえフック\col(0)を手に入れた!
ねらったエモノと じぶんを
いれかえられるぞ"
TX_0031,"\col(1)水かき\col(0)を手に入れた!
これで 水の中もヘッチャラだ!
Aで スイスイ、Bで もぐろう!"
TX_0032,"\col(1)ボムチュウ\col(0)を手に入れた!
テキにむかって まっしぐら!"
TX_0033,"\col(1)大きなマカの実\col(0)を手に入れた!
これで 邪悪なまどわしを
ふりはらえるハズだ!!"
TX_0034,"\col(1)ゆびわの小ばこ\col(0)が レベルアップ!
\col(1)ゆびわ\col(0)を\num1コまで入れておけるぞ!"
TX_0035,"アチチ! そのままでは
もちあるけそうにないぞ"
TX_0036,"\col(1)にんぎょス-ツ\col(0)を手に入れた!
ふかい水や海を およいでもぐれる
\col(0x84)\item(0x00)\col(0)ボタンでスイスイ
Bボタンで せんすい。ふじょう
Aボタンのアイテムは つかえるぞ"
TX_0037,\col(1)ミノムの実\col(0)を手に入れた!
TX_0038,"\col(1)リッキ-のふえ\col(0)をもらった!
ふけば \col(3)リッキ-\col(0)がたすけにくるぞ"
TX_0039,"\col(1)ウィウィのふえ\col(0)をもらった!
ふけば \col(3)ウィウィ\col(0)がたすけにくるぞ"
TX_003a,"\col(1)ムッシュのふえ\col(0)をもらった!
ふけば \col(3)ムッシュ\col(0)がたすけにくるぞ"
TX_003b,"\col(1)ヘンなふえ\col(0)を手に入れた!
なにやら レアなかんじ!"
TX_003c,"\col(1)バクダン花\col(0)を手に入れた!
とりあつかい ちゅうい!!"
TX_003d,\col(1)王かんのカギ\col(0)を手に入れた!
TX_003e,\col(1)トク上カルビいわ\col(0)を手に入れた!
TX_003f,\col(1)ゴロンつぼ\col(0)を手に入れた!
TX_0040,"\col(1)タフゴロン2001\col(0)を手に入れた!
グイッとのめば ねむけスッキリ!"
TX_0041,\col(1)ヨ-ガンドリンク\col(0)を手に入れた!
TX_0042,\col(1)にんぎょのカギ\col(0)を手に入れた!
TX_0043,\col(1)ふるいにんぎょのカギ\col(0)を手に入れた
TX_0044,\col(1)としょかんのカギ\col(0)を手に入れた!
TX_0045,"\col(1)メンバ-ズカ-ド\col(0)を手に入れた!
村のおみせで つかえるぞ!"
TX_0046,"\col(1)ふしぎの木の実\col(0)を いままでより
イッパイ もてるようになった!"
TX_0047,"\col(1)ゾ-ラのうろこ\col(0)を手に入れた!
海の男の おまもりだ!"
TX_0048,"\col(1)せきばん\col(0)を手に入れた!
とおい むかしのコトバが
きざんである"
